Name,Date,URL,Post,Likes,Comments,Shares,Engagement Score,Reach
Cream Silk Philippines,24/10/2017 01:29,http://www.facebook.com/294932873854545_1570472539684981,"Discover the Cream Silk Customized Solution for you with the Limited Edition Cream Silk Minis, complete with all 7 Customized Solutions! Shop online now and have the #PowerToTransform.",27892,359,239,974,2385926
Lifebuoy,10/10/2017 01:27,http://www.facebook.com/257830004348888_1151776028287610,"Ayo berbagi kebaikan di Hari Cuci Tangan Sedunia bersama Lifebuoy! Hanya dengan aksi mudah, unggah foto kamu tos dengan keluarga atau teman ke Instagram. ?Jangan lupa untuk menggunakan hashtag #TepukSehatIndonesia.??Setiap 1 foto yang kamu post, kamu telah membantu edukasi cuci tangan untuk 10 anak Indonesia. ?Ajak teman-teman kamu yang lain juga ya! ??#TepukSehatIndonesia #HariCuciTanganSedunia #LifebuoyID",52569,564,542,1000,2380932
kyliecosmetics,08/10/2017 16:12,http://www.facebook.com/559929417490965_940397839444119,The Purple Palette: KylieCosmetics.com,12498,681,597,705,2318630
Elf Cosmetics,08/10/2017 12:00,http://www.facebook.com/31654787464_10154219827767465,#skincareandchill queeeen @charmiejanee made this STUNNER post showing off the Beauty Shield Magnetic Mask Kit (only $24!) Have you tried this magical face mask yet? ??PS Big love and thanks to @hudabeauty for reposting this!,9454,5050,2519,994,2302912
Huda Beauty,08/10/2017 04:31,http://www.facebook.com/114619875225579_1608389702515248,Are You Guys Ready for This? #hudabeautyfauxfilter Foundation ???????? going to change some lives ???? October 13!!!!,248947,419,106,1000,2245748
Avon,04/10/2017 11:31,http://www.facebook.com/339804526194_10155435040941195,"A gente já sabe como você pode aproveitar o lançamento da linha de Esmalte Ultra Cobertura e Brilho Color Trend. Com essa ideia apenas incrível para deixar suas mãos ainda mais estilosas, bb. Separa as cores Beijo da Estação e Nome na Lista e vem com a gente! #VaiPassarQual?",16162,1136,1972,769,2234259
NiveaMenID,12/10/2017 08:00,http://www.facebook.com/141234406080065_674660586070775,"Play like the #RealMen! Ini cara keren pas ambil kunci. Biar makin pede pas keluar rumah, pakai NIVEA MEN Oil Attack + Bright Liquid Facial Foam, mengontrol minyak seharian dan membersihkan kotoran sampai pori terdalam di muka kamu. Ngomong-ngomong ada rencana ke mana hari ini, Men?",75293,227,228,1000,2214566
ClubGlamrs,29/10/2017 04:30,http://www.facebook.com/319863888091100_1497581056986038,All you need is a safety pin for these unique festive drapes!,7164,301,3047,837,2211996
Carol's Daughter,12/10/2017 20:40,http://www.facebook.com/111744862223_10155305866537224,"Dear Mom, I'm stuck to you like glue! ?????????????: @blessedindoubles??#mommysgirl #madewithlove",9219,2546,2434,999,2190601
Lifebuoy,04/10/2017 03:40,http://www.facebook.com/407422362695986_1222578087847072,??? ??? ????? ??????? ??? ???? ?? ???? ???? ??? ?????? ?????? ??? ????? ??????? ?????? ??? ???? ??? ???  #High5forHandwashing ???? ????? ??? ?????? ????? ?????????????,260726,499,258,1000,2153973
BlushChannel,21/10/2017 02:14,http://www.facebook.com/964634006880889_1934042703273343,"We've written our statuses and shared our stories, this is the people of Culture Machine, saying #MeToo.",14887,1155,5787,1000,2144969
Lancôme,03/10/2017 15:15,http://www.facebook.com/114089341976010_1614892995228963,A felicidade é a melhor forma de beleza. ?,149501,1088,18224,1000,2134739
ClubGlamrs,09/10/2017 09:30,http://www.facebook.com/319863888091100_1469780443099433,"Want your face to look lean and  chiseled? These contouring, highlighting and baking tricks will help you get the look!",7599,156,1612,686,2115448
LUX,11/10/2017 05:02,http://www.facebook.com/474653995929343_1602791819782216,Discover perfumed moments that make our Lux girls feel fabulous. Visit https://www.luxstyle.pk/new-lux-perfumed-collection/ to browse through the captivating New Lux Perfumed Collection. #ZarasaLux #LuxPerfume #PerfumedCollection,14981,372,673,999,2109824
Durex India,17/10/2017 06:34,http://www.facebook.com/304211443013233_1222349987866036,Can't light crackers outside? Indoor fireworks are always more satisfying. Have a #HappyDiwali with Durex!?Buy now: http://bit.ly/2un0NBQ,151509,3855,1265,1000,2109604
O Boticário,22/10/2017 08:00,http://www.facebook.com/140105282727777_1696757297062560,"Já ouviu falar do poder super hidratante do óleo de coco? A linha Match. Fonte da Hidratação leva na fórmula esse maravilhoso componente, hidratando o seu cabelo já na primeira aplicação. E sabe o melhor? A linha tá com desconto de até 20%!! Seus cabelos vão amar <3??*Promoção não cumulativa e válida de 16/10/2017 a 05/11/2017 ou enquanto durarem os estoques. Consulte os itens participantes.??Produtos na Imagem:?Match Fonte da Hidratação Condicionador Co Wash: http://bit.ly/2gUxGP1?Match Fonte da Hidratação Máscara Capilar: http://bit.ly/2ywWrLe?Match Fonte da Hidratação Shampoo: http://bit.ly/2yEEhEZ?Match Fonte da Hidratação Condicionador: http://bit.ly/2yE0kgU??#pracegover: na imagem, a linha Match. Fonte da Hidratação está espalhada sobre uma bancada de azulejos escuros. Os produtos estão próximos de uma toalha, um secador e uma escova de cabelos, todos na cor azul. Na imagem aparece ainda o texto ""Cabelos mega hidratados por menos? Aproveita que tem promo!"".",121787,2339,2654,958,2100868
